"LIMIT_BAL","PAY_0","PAY_2","PAY_3","PAY_4","PAY_5","PAY_6","BILL_AMT1","BILL_AMT2","BILL_AMT3","BILL_AMT4","BILL_AMT5","BILL_AMT6","PAY_AMT1","PAY_AMT2","PAY_AMT3","PAY_AMT4","PAY_AMT5","PAY_AMT6","default","AGE_GROUP_35_50","AGE_GROUP_50_65","AGE_GROUP_Over_65","SEX_2","EDUCATION_1","EDUCATION_2","EDUCATION_3","EDUCATION_4","EDUCATION_5","EDUCATION_6","MARRIAGE_1","MARRIAGE_2","MARRIAGE_3"
80000,2,2,0,0,2,4,69578,67871,68782,73955,79128,82275,0,2600,6332,7000,5000,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
50000,0,0,0,0,0,0,34461,35582,40610,11292,3266,10012,2000,6000,2000,2200,10000,2100,0,1,0,0,0,0,0,1,0,0,0,0,1,0
280000,1,2,0,0,0,0,297192,284462,283374,238039,234017,145132,0,11143,7300,6024,6000,3500,0,0,0,0,1,0,1,0,0,0,0,0,1,0
200000,-2,-2,-2,-2,-2,-2,0,0,2479,0,0,0,0,2479,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0
180000,1,-2,-2,-2,-1,-1,0,0,0,0,1482,0,0,0,0,1482,0,9262,0,1,0,0,1,0,1,0,0,0,0,0,1,0
30000,1,2,2,2,0,0,17775,18688,21488,20847,21162,21809,1500,3433,0,800,1000,1000,1,1,0,0,1,1,0,0,0,0,0,0,1,0
360000,2,2,2,2,2,2,286732,290690,284059,294308,297916,279503,10792,0,15000,5800,0,126685,0,0,0,0,1,0,1,0,0,0,0,0,1,0
470000,-1,0,0,-1,-1,-1,873,1593,1518,285,688,2100,1005,1000,285,688,2100,1014,0,1,0,0,1,0,1,0,0,0,0,1,0,0
90000,0,0,0,0,0,0,16420,17441,18467,19554,20028,20704,1300,1313,1400,800,1000,800,0,1,0,0,0,0,1,0,0,0,0,1,0,0
50000,0,0,0,0,0,0,13191,14659,17097,18207,20580,22577,2000,3000,1700,3000,2500,5000,0,1,0,0,0,1,0,0,0,0,0,0,1,0
10000,1,-1,0,0,0,0,7140,8489,9488,9129,9479,9523,11153,1152,1150,500,345,387,0,0,0,0,0,0,1,0,0,0,0,0,1,0
500000,-1,-1,-1,-1,-1,-1,12939,28805,41027,36073,46096,103065,28954,41027,36073,46096,103065,154321,0,1,0,0,0,1,0,0,0,0,0,1,0,0
150000,0,0,0,2,2,2,76415,78836,87265,85084,93323,91783,4150,5800,0,9717,0,3300,1,1,0,0,0,0,1,0,0,0,0,1,0,0
340000,0,0,0,0,0,0,142836,145125,146682,150407,147868,149349,7000,5500,6027,5328,5390,6047,1,1,0,0,1,0,0,1,0,0,0,0,1,0
90000,0,0,0,0,0,0,84148,79847,75576,75266,74431,68399,5006,4007,5006,4003,3014,4007,0,0,0,0,1,0,1,0,0,0,0,1,0,0
360000,-1,-1,-1,-1,-1,-1,11487,307,400,589,956,1383,307,400,589,956,1383,448,0,0,0,0,0,1,0,0,0,0,0,0,1,0
50000,0,0,0,0,0,0,48237,49097,43763,37657,38530,39409,1755,1614,1627,1500,1500,1822,0,0,0,0,1,0,1,0,0,0,0,0,1,0
150000,0,0,0,0,0,0,17723,19440,14945,12966,14882,8105,2019,2020,2000,2000,2000,1000,0,1,0,0,1,0,1,0,0,0,0,1,0,0
30000,-1,-1,-1,-1,-1,2,2635,807,11428,2462,3605,1559,1270,11500,2462,1559,0,3192,0,0,0,0,1,1,0,0,0,0,0,0,1,0
150000,-1,0,-1,-1,2,0,1148,3019,100,802,802,702,2000,100,702,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
120000,-1,-1,-1,-1,-1,-1,51261,4899,6500,6825,5635,2833,4899,6500,6825,5635,5497,7921,0,0,0,0,1,1,0,0,0,0,0,0,1,0
20000,0,0,0,0,0,0,10288,9276,5622,19263,18433,26132,3010,2010,15000,4000,2000,2000,0,1,0,0,0,0,1,0,0,0,0,1,0,0
50000,-2,-2,-2,-1,0,0,50096,49917,0,24415,25305,25775,1000,0,24415,1295,1275,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
360000,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0
250000,-2,-2,-2,-2,-2,-2,14310,3697,0,0,0,0,3700,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
360000,-1,-1,-1,-1,-1,-1,1540,1099,6342,5077,1274,-6,1102,6353,5105,1277,0,2058,0,0,0,0,0,1,0,0,0,0,0,1,0,0
210000,0,0,0,0,0,0,154714,150011,139854,138054,136674,136196,4830,4700,4515,4426,4436,4765,0,0,0,0,0,1,0,0,0,0,0,1,0,0
500000,-1,0,0,0,0,0,30252,47506,28171,26498,45212,35223,38009,28005,22000,33000,22000,10000,0,1,0,0,1,0,1,0,0,0,0,0,1,0
450000,0,0,-1,-1,-1,-1,13371,13480,5747,3339,9458,7231,4000,5747,3339,18916,7231,4972,0,1,0,0,1,1,0,0,0,0,0,1,0,0
310000,0,0,0,0,0,0,143072,153378,176904,174117,125526,108107,30000,30000,10054,10000,10000,5000,0,0,0,0,1,1,0,0,0,0,0,1,0,0
110000,0,0,0,0,0,0,108316,100784,88568,43720,42138,43085,4600,3500,2000,2000,1800,1700,0,1,0,0,1,1,0,0,0,0,0,0,1,0
80000,-1,-1,-1,0,0,0,5810,216,5741,6143,7039,26799,216,7741,500,1000,20000,1500,0,1,0,0,0,0,1,0,0,0,0,1,0,0
200000,-1,-1,-1,-1,0,0,18568,-49,980,3682,3682,0,0,1029,3682,0,0,590,0,0,0,0,1,0,1,0,0,0,0,0,1,0
380000,0,0,0,0,0,0,200932,190991,175028,162699,138158,135920,10000,10000,5849,4570,5447,120000,0,0,0,0,1,0,1,0,0,0,0,0,1,0
250000,-1,-1,-1,-1,-1,-1,6297,8636,17038,5169,12818,2328,8657,23744,5169,14008,2328,17285,0,1,0,0,0,0,0,1,0,0,0,1,0,0
210000,0,0,0,0,0,0,115583,130020,133963,115989,101628,104809,25000,15103,5000,4000,5000,5000,0,0,0,0,1,0,1,0,0,0,0,0,1,0
310000,-2,-2,-2,-2,-2,-2,2851,4609,2109,14109,2109,2218,7869,2109,14109,2109,2218,1809,0,1,0,0,1,0,1,0,0,0,0,1,0,0
500000,-2,-2,-2,-2,-2,-2,5925,11175,21176,5086,9552,14389,11194,21193,5094,9563,14403,5233,0,1,0,0,0,1,0,0,0,0,0,0,1,0
50000,0,0,0,0,0,0,50952,50836,50055,50641,40672,39960,2700,2000,2700,1700,1600,1800,0,0,0,0,1,0,1,0,0,0,0,0,1,0
240000,0,0,0,0,0,0,177795,167091,161691,165177,132478,138979,8576,8200,9009,5000,10500,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
160000,0,0,0,2,2,2,1380,1481,2623,2457,4912,3669,1331,2473,0,2500,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
50000,0,0,0,0,0,0,47750,49149,47843,29018,29777,28722,2180,1874,1049,1237,1100,1300,1,0,1,0,0,0,1,0,0,0,0,1,0,0
20000,0,0,2,2,0,0,9811,15726,15723,15173,15925,16245,6097,547,0,1000,585,1000,0,0,0,0,0,0,1,0,0,0,0,0,1,0
